Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Guðbjörg Valdimarsdóttir,100,13.09,70,6.24,100,2.54,90,24.48,100,1.0,80,8.45,540
Jóhanna Júlía Júlíusdóttir,90,13.54,100,5.25,70,3.31,100,24.15,20,9.0,100,8.16,480
Hallgerður María Friðriksdóttir,80,14.03,50,6.46,90,2.59,60,26.48,90,2.0,90,8.26,460
Bryndís María Björnsdóttir,60,15.04,90,6.03,30,4.33,20,27.5,90,2.0,80,8.45,370
Birta Líf Þórarinsdóttir,70,14.44,80,6.07,80,3.09,10,59.59,60,5.0,60,9.06,360
Ingibjörg Malmquist,50,15.54,60,6.41,50,4.03,40,27.09,50,6.0,30,10.12,280
Sigríður Sjöfn Ingvarsdóttir,30,17.32,30,8.03,40,4.05,70,26.28,30,8.0,40,9.57,240
Sólrún Sigþórsdóttir,40,16.12,40,7.4,10,5.27,80,25.28,10,10.0,50,9.24,230
Guðrún Bjarnadóttir,20,17.57,10,8.34,60,3.36,50,27.0,70,4.0,10,11.23,220
Dísa Edwards,10,18.34,20,8.16,20,4.56,30,27.26,40,7.0,20,10.47,140
